192.168.100.47
15:21
0
5
S;11;Pillauer Straße 17:58;Fachhochschule 17:53 • Hermannstr. 17:56;17:52;0
S;11;Wik Kanal 18:42;Seefischmarkt 18:03 • Hbf 18:21 • Dreiecksplatz 18:29 • Ansgarkirche 18:31 • Elendsredder 18:38;17:58;-1
S;11;Pillauer Straße 18:06;Fachhochschule 18:01 • Hermannstr. 18:04;18:00;0
F;F2;Reventloubrücke 18:21 -> F1 Laboe ab 18:50;Wellingdorf 18:09;18:03;-1
S;11;Wik Kanal 18:50;Seefischmarkt 18:11 • Hbf 18:29 • Dreiecksplatz 18:37 • Ansgarkirche 18:39 • Elendsredder 18:46;18:06;-1
S;60S;Botanischer Garten 18:40;Seefischmarkt 18:10 • Hbf 18:22 • Dreiecksplatz 18:30 • Ansgarkirche 18:32 • Universität 18:35;18:06;-1
S;11;Pillauer Straße 18:13;Fachhochschule 18:08 • Hermannstr. 18:11;18:07;-1
S;11;Wik Kanal 18:57;Seefischmarkt 18:18 • Hbf 18:36 • Dreiecksplatz 18:44 • Ansgarkirche 18:46 • Elendsredder 18:53;18:13;-1
S;11;Pillauer Straße 18:21;Fachhochschule 18:16 • Hermannstr. 18:19;18:15;-1
S;11;Wik Kanal 19:05;Seefischmarkt 18:26 • Hbf 18:44 • Dreiecksplatz 18:52 • Ansgarkirche 18:54 • Elendsredder 19:01;18:21;-1
S;60S;Botanischer Garten 18:55;Seefischmarkt 18:25 • Hbf 18:37 • Dreiecksplatz 18:45 • Ansgarkirche 18:47 • Universität 18:50;18:21;-1
S;11;Pillauer Straße 18:28;Fachhochschule 18:23 • Hermannstr. 18:26;18:22;-1
S;11;Wik Kanal 19:12;Seefischmarkt 18:33 • Hbf 18:51 • Dreiecksplatz 18:59 • Ansgarkirche 19:01 • Elendsredder 19:08;18:28;-1
S;11;Pillauer Straße 18:36;Fachhochschule 18:31 • Hermannstr. 18:34;18:30;-1
F;F2;Reventloubrücke 18:51 -> F1 Bahnhof ab 19:19;Wellingdorf 18:39;18:33;-1
S;11;Wik Kanal 19:20;Seefischmarkt 18:41 • Hbf 18:59 • Dreiecksplatz 19:07 • Ansgarkirche 19:09 • Elendsredder 19:16;18:36;-1
S;60S;Botanischer Garten 19:10;Seefischmarkt 18:40 • Hbf 18:52 • Dreiecksplatz 19:00 • Ansgarkirche 19:02 • Universität 19:05;18:36;-1
S;11;Pillauer Straße 18:43;Fachhochschule 18:38 • Hermannstr. 18:41;18:37;-1
S;11;Wik Kanal 19:27;Seefischmarkt 18:48 • Hbf 19:06 • Dreiecksplatz 19:14 • Ansgarkirche 19:16 • Elendsredder 19:23;18:43;-1
S;11;Pillauer Straße 18:51;Fachhochschule 18:46 • Hermannstr. 18:49;18:45;-1
S;11;Wik Kanal 19:35;Seefischmarkt 18:56 • Hbf 19:14 • Dreiecksplatz 19:22 • Ansgarkirche 19:24 • Elendsredder 19:31;18:51;-1
S;60S;Botanischer Garten 19:25;Seefischmarkt 18:55 • Hbf 19:07 • Dreiecksplatz 19:15 • Ansgarkirche 19:17 • Universität 19:20;18:51;-1
